Bairro;Longitude;Latitude;Demanda;Capacidade;Custo
Bacacherí;-49,2474748;-25,4018619;500;2298;1838400
Bairro Alto;-49,2268303;-25,4123155;904;2877;3740100
Batel;-49,297017;-25,4413611;685;1669;1669000
Boqueirão;-49,2529249;-25,5054148;968;2674;4011000
Cajuru;-49,2268961;-25,4613033;143;2722;2449800
Capão da Imbuia;-49,2260358;-25,4367121;418;2384;2860800
Centro;-49,2796458;-25,4321587;667;2088;2296800
Cidade Industrial;-49,3723223;-25,4573673;903;1123;1347600
Fazendinha;-49,3331065;-25,480968;815;1902;1902000
Hauer;-49,2609939;-25,4774216;606;2947;4125800
Jardim das Américas;-49,2377161;-25,4579512;259;1855;1669500
Mossunguê;-49,3420312;-25,4423293;309;2168;3035200
Novo Mundo;-49,3131946;-25,487748;403;2115;2749500
Pilarzinho;-49,3250216;-25,4018454;168;2126;3401600
Pinheirinho;-49,3104457;-25,5238141;815;2625;3412500
Portão;-49,3097647;-25,4720522;960;2170;1736000
Santa Cândida;-49,2470586;-25,3668842;755;1424;2278400
São Braz;-49,371206;-25,4119441;431;2148;2362800
Sítio Cercado;-49,2875541;-25,5440411;331;2115;232650
Tatuquara;-49,33638;-25,5606956;460;1746;1746000
Uberaba;-49,2330507;-25,4900129;728;1619;1295200